name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
HEY BABY - Radio Mix,HEY BABY (uh ah),DJ Ötzi,2010-04-25,219240,58,0.666,0.123,0.666,0.968,0,0.347,-3.196,0.046,135.099,4
Music,Music,Madonna,2000-09-19,225973,58,0.736,0.00149,0.736,0.802,0.0876,0.14,-8.527,0.0663,119.854,4
The Way You Love Me,Breathe,Faith Hill,1999-11-09,186066,57,0.627,0.127,0.627,0.716,0,0.0344,-7.175,0.0352,101.99,4
He Wasn't Man Enough,The Heat,Toni Braxton,2000,261933,65,0.739,0.00947,0.739,0.947,2.99E-05,0.326,-1.915,0.0412,88.009,4
Rise,Rise,Gabrielle,2001-01-01,219093,59,0.558,0.315,0.558,0.481,8.83E-06,0.09,-9.487,0.026,144.673,4
Teenage Dirtbag,Wheatus,Wheatus,1999-02-15,241666,69,0.625,0.346,0.625,0.85,0.000233,0.174,-3.904,0.0495,94.661,4
Pure Shores,Saints & Sinners,All Saints,2000-08-16,268746,62,0.631,0.0498,0.631,0.664,0.00042,0.0696,-9.197,0.0242,100.618,4
Fill Me In,Born to Do It,Craig David,2000-08-14,257200,58,0.683,0.373,0.683,0.748,0.00881,0.06,-6.981,0.0366,132.486,4
Crash and Burn,Affirmation,Savage Garden,1999-11-09,281466,53,0.581,0.189,0.581,0.607,1.60E-06,0.0882,-8.458,0.028,102.03,4
I Turn To You,Northern Star,Melanie C,1999,352173,54,0.522,0.00117,0.522,0.803,0.00167,0.31,-5.825,0.0327,135.205,4
Dance with Me,Dance With Me,Debelah Morgan,2000,220106,47,0.85,0.309,0.85,0.674,0.000645,0.0356,-7.981,0.0373,115.005,4
"Jumpin', Jumpin'",The Writing's On The Wall,Destiny's Child,1999-07-27,230200,68,0.771,0.00543,0.771,0.685,0.00157,0.0537,-4.639,0.0567,88.997,4
Beautiful Day,All That You Can't Leave Behind,U2,2000-01-01,248400,72,0.536,0.0154,0.536,0.928,0.00134,0.2,-6.492,0.0589,136.258,4
Don't Think I'm Not,Hey Kandi...,Kandi,2000-09-12,243533,54,0.859,0.0661,0.859,0.622,0,0.0394,-8.196,0.0445,134.007,4
7 Days,Born to Do It,Craig David,2000-08-14,235133,69,0.659,0.23,0.659,0.812,0,0.0951,-7.499,0.0487,83.013,4
You Sang To Me,Marc Anthony,Marc Anthony,1999-09-28,347106,53,0.578,0.0103,0.578,0.894,2.66E-06,0.216,-5.42,0.0296,165.98,4
I Hope You Dance,I Hope You Dance,Lee Ann Womack,2000-01-01,294533,64,0.385,0.0632,0.385,0.443,0,0.0898,-9.627,0.0295,151.278,4
It Feels So Good,Hear My Cry,Sonique,2000-08-24,240866,61,0.634,0.0117,0.634,0.677,0.00103,0.126,-7.278,0.0304,135.012,4
Doesn't Really Matter,All For You,Janet Jackson,2001-01-01,265026,47,0.771,0.0993,0.771,0.796,0.00278,0.0981,-3.081,0.076,99.316,4
Back Here,Sooner or Later,BBMAK,2000,221653,46,0.623,0.0717,0.623,0.909,3.17E-05,0.0579,-4.78,0.0312,104.617,4
Don't Give Up,Twenty,Chicane,2016-07-29,210786,44,0.644,0.00145,0.644,0.72,0.504,0.0839,-9.635,0.0419,132.017,4
Sexbomb,Reload,Tom Jones,1999,211893,64,0.801,0.144,0.801,0.876,1.38E-05,0.104,-3.94,0.0446,122.979,4
Flowers - Sunship Edit,In Person,Sweet Female Attitude,2001-08-28,230133,46,0.746,0.38,0.746,0.965,0.00547,0.621,-5.263,0.113,131.861,4
Case Of The Ex (Whatcha Gonna Do),Fear Of Flying,Mýa,2000,236906,56,0.772,0.0548,0.772,0.688,9.79E-05,0.0725,-4.715,0.0405,98,4
All The Small Things,Enema Of The State,blink-182,1999-06-01,167066,78,0.434,0.0103,0.434,0.897,0,0.612,-4.918,0.0488,148.726,4
Most Girls,Can't Take Me Home (Expanded Edition),P!nk,2000-04-04,298960,52,0.742,0.0424,0.742,0.732,0.00444,0.101,-6.046,0.0311,97.923,4
Lady - Hear Me Tonight,Modjo (Remastered),Modjo,2001,307153,72,0.72,0.00793,0.72,0.808,0.0293,0.0634,-5.627,0.0379,126.041,4
Incomplete,Unleash The Dragon,Sisqo,1999-01-01,274226,59,0.746,0.282,0.746,0.443,0,0.14,-7.693,0.0771,119.311,4
Better Off Alone,Who Needs Guitars Anyway?,Alice DJ,2000,214883,72,0.671,0.00185,0.671,0.881,0.65,0.285,-6.149,0.0552,136.95,4
Who Let The Dogs Out,Who Let The Dogs Out,Baha Men,2000,198400,64,0.869,0.0605,0.869,0.887,0,0.148,-4.505,0.0993,129.221,4
L'Amour Toujours,Top 100 Greatest Dance Hits,Various Artists,2011-01-14,238759,44,0.617,0.0328,0.617,0.728,0.0482,0.36,-7.932,0.0292,139.066,4
There You Go,Can't Take Me Home (Expanded Edition),P!nk,2000-04-04,202800,54,0.822,0.0862,0.822,0.847,0,0.0452,-6.729,0.0916,107.906,4
Maria Maria (feat. The Product G&B),Supernatural (Remastered),Santana,1999-06-15,261973,65,0.777,0.0406,0.777,0.601,0.00201,0.0348,-5.931,0.126,97.911,4
Wifey,Platinum & Gold Collection,Next,2004-04-30,243666,52,0.829,0.067,0.829,0.652,0,0.0812,-8.693,0.108,99.581,4
Absolutely (Story of a Girl) - Radio Mix,The Madding Crowd,Nine Days,2000-05-16,189333,65,0.481,0.000891,0.481,0.94,0,0.0939,-5.204,0.066,96.493,4
Bent,Mad Season,Matchbox Twenty,2000-05-23,256133,53,0.518,0.0404,0.518,0.83,3.85E-06,0.375,-6.814,0.0386,95.468,4
In the End,Hybrid Theory (Bonus Edition),Linkin Park,2000-10-24,216880,82,0.556,0.00958,0.556,0.864,0,0.209,-5.87,0.0584,105.143,4
Try Again,I Care 4 U,Aaliyah,2002,284000,53,0.797,0.0807,0.797,0.622,0,0.0841,-5.642,0.29,93.02,4
I Wanna Know,My Name Is Joe,Joe,2000-04-18,296693,64,0.725,0.26,0.725,0.487,1.09E-05,0.431,-5.959,0.0368,136.086,4
The Real Slim Shady,The Marshall Mathers LP,Eminem,2000-05-23,284200,79,0.949,0.0302,0.949,0.661,0,0.0454,-4.244,0.0572,104.504,4
I Like It,From The Bottom To The Top,Sammie,2000-01-01,251040,57,0.826,0.0101,0.826,0.656,0.000113,0.0272,-8.529,0.0617,129.963,4
With Arms Wide Open,Human Clay,Creed,1999-01-01,274800,64,0.41,0.00425,0.41,0.539,0.00089,0.117,-8.412,0.0302,138.852,4
Groovejet,Wonder's Dancefloor,Various Artists,2001-01-09,450455,53,0.794,0.000496,0.794,0.595,0.121,0.353,-9.125,0.0715,123.008,4
Desert Rose,Brand New Day,Sting,1999-01-01,285960,62,0.586,0.011,0.586,0.659,0,0.106,-7.92,0.0304,111.989,4
Go Let It Out,Standing on the Shoulder of Giants,Oasis,2000-02-28,278666,11,0.408,0.0136,0.408,0.849,2.51E-05,0.56,-5.631,0.0333,84.192,4
Move Your Body - Gabry Ponte Original Radio Edit,Europop,Eiffel 65,2011-01-05,268863,56,0.745,0.0813,0.745,0.958,0.324,0.533,-9.664,0.0287,129.962,4
Country Grammar (Hot Shit),Country Grammar,Nelly,2000-06-27,287000,68,0.865,0.00689,0.865,0.664,0,0.142,-6.822,0.108,162.831,4
He Can't Love U,J.E. Heartbreak,Jagged Edge,2000-01-18,244053,57,0.721,0.112,0.721,0.836,0,0.235,-3.972,0.206,126.279,4
Everything You Want,Everything You Want,Vertical Horizon,1999-06-14,257066,62,0.637,0.0504,0.637,0.759,0,0.0642,-6.389,0.0305,93.898,4
Never Let You Go - 2008 Remaster,Blue,Third Eye Blind,1999-11-23,237240,63,0.728,0.0814,0.728,0.94,0.000162,0.109,-5.034,0.0368,113.76,4
Get It On Tonite,Get It On...Tonite,Montell Jordan,1999-01-01,276266,56,0.813,0.241,0.813,0.491,4.61E-05,0.0817,-9.923,0.077,99.008,4
